iter	RMSE
165	1.582626289
166	1.581012494
167	1.57982992
168	1.57886465
169	1.578601291
170	1.577471626
171	1.575590982
172	1.573918188
173	1.571907644
174	1.570000382
175	1.568286982
176	1.56745297
177	1.566043317
178	1.565201334
179	1.561691573
180	1.560104444
181	1.55789426
182	1.557280083
183	1.555953775
184	1.552940595
185	1.550803461
186	1.54909966
187	1.547661646
188	1.546118574
189	1.544638461
190	1.543729558
191	1.542425007
192	1.540654074
193	1.539842206
194	1.537971083
195	1.535908079
196	1.532759598
197	1.53206787
198	1.530253442
199	1.527901037
200	1.527049389
201	1.525472514
202	1.523408087
203	1.522562367
204	1.521013377
205	1.518349326
206	1.516221983
207	1.514383243
208	1.513540813
209	1.512040319
210	1.510637581
211	1.509725374
212	1.506586073
213	1.504193763
214	1.502465281
215	1.500318842
216	1.499025448
217	1.496403118
218	1.495057091
219	1.494505307
220	1.493291276
221	1.491373358
222	1.490335405
223	1.489238341
224	1.487814763
225	1.485926751
226	1.48503135
227	1.483671751
228	1.481863375
229	1.48164077
230	1.480349908
231	1.479229479
232	1.478529806
233	1.477187933
234	1.476124931
235	1.474792541
236	1.473895675
237	1.472589664
238	1.471422521
239	1.470565961
240	1.469611814
241	1.469012966
242	1.467632621
243	1.466008337
244	1.464399546
245	1.463984868
246	1.462061171
247	1.459433363
248	1.457701692
249	1.455045763
250	1.4538663
251	1.45292066
252	1.452279578
253	1.451712543
254	1.450679788
255	1.450228988
256	1.448755632
257	1.447010029
258	1.443817714
259	1.442617831
260	1.442057259
261	1.441329556
262	1.439405633
263	1.436230238
264	1.434871957
265	1.434248251
266	1.433708217
267	1.432212288
268	1.432109888
269	1.431321591
270	1.431191193
271	1.428715844
272	1.42788743
273	1.426686141
274	1.426474207
275	1.424093575
276	1.422978099
277	1.422194158
278	1.421769304
279	1.418786399
280	1.418453331
281	1.415670569
282	1.414966595
283	1.413332532
284	1.41255734
285	1.412432418
286	1.411068858
287	1.410891215
288	1.410353344
289	1.409775152
290	1.408070665
291	1.407653615
292	1.40564739
293	1.404646119
294	1.404476799
295	1.404352926
296	1.402050073
297	1.401915265
298	1.401798589
299	1.401336357
300	1.399591062
301	1.399476728
302	1.398284165
303	1.396520671
304	1.394883335
305	1.393576705
306	1.39348792
307	1.392891261
308	1.392776179
309	1.391179016
310	1.389999501
311	1.389069046
312	1.388956805
313	1.3873483
314	1.385546796
315	1.383007222
316	1.382831257
317	1.382726722
318	1.380468328
319	1.378164384
320	1.376647653
321	1.376075082
322	1.373446508
323	1.37244576
324	1.371506478
325	1.369957644
326	1.367610463
327	1.365389202
328	1.36304511
329	1.360598728
330	1.358485082
331	1.356027085
332	1.355604114
333	1.353514065
334	1.35185929
335	1.351730787
336	1.351649922
337	1.350359333
338	1.348054115
339	1.346288943
340	1.345669983
341	1.34416435
342	1.343034369
343	1.340978423
344	1.340879249
345	1.340779295
346	1.338575749
347	1.337018679
348	1.333076666
349	1.331141656
350	1.32946117
351	1.328052233
352	1.326926494
353	1.326197976
354	1.325153542
355	1.323413685
356	1.32200286
357	1.321217976
358	1.319140789
359	1.317414364
360	1.315847191
361	1.314320647
362	1.310361541
363	1.309183751
364	1.307011428
365	1.305363215
366	1.304432417
367	1.303771022
368	1.302295914
369	1.301857913
370	1.301340453
371	1.301241056
372	1.299248175
373	1.299168839
374	1.298529778
375	1.296445739
376	1.294195964
377	1.292590543
378	1.29071491
379	1.289282242
380	1.28755928
381	1.287075925
382	1.285865331
383	1.284839394
384	1.28477089
385	1.284528416
386	1.283433918
387	1.283360649
388	1.281986456
389	1.281294083
390	1.280032565
391	1.279945981
392	1.276305447
393	1.274969633
394	1.274885518
395	1.274152422
396	1.274082695
397	1.2723277
398	1.272206549
399	1.270084229
400	1.268617937
401	1.267763463
402	1.267159185
403	1.264162248
404	1.264114474
405	1.264061735
406	1.262693677
407	1.261377258
408	1.260213687
409	1.260147415
410	1.258109674
411	1.257022913
412	1.256944097
413	1.255820766
414	1.254589648
415	1.253395914
416	1.252266049
417	1.252105546
418	1.251632474
419	1.250582418
420	1.249466303
421	1.249249397
422	1.247884196
423	1.246750104
424	1.246648087
425	1.245966907
426	1.245670516
427	1.244791409
428	1.244058823
429	1.242457636
430	1.241232881
431	1.23969877
432	1.238826221
433	1.238316827
434	1.237076752
435	1.235283818
436	1.23521694
437	1.231975372
438	1.231024352
439	1.229453777
440	1.229387724
441	1.228554292
442	1.228017393
443	1.227185113
444	1.22640464
445	1.225376786
446	1.224293188
447	1.222888826
448	1.221446749
449	1.219874358
450	1.219745265
451	1.21965168
452	1.218491215
453	1.218393969
454	1.217155724
455	1.215874967
456	1.214855189
457	1.213443959
458	1.213025201
459	1.21296048
460	1.211656465
461	1.210876787
462	1.210060398
463	1.210010722
464	1.208649524
465	1.208608763
466	1.208062054
467	1.206864918
468	1.20482417
469	1.203660377
470	1.203107586
471	1.202140616
472	1.200176696
473	1.198590547
474	1.198424681
475	1.198381286
476	1.198293493
477	1.198253938
478	1.196634425
479	1.194568273
480	1.194533343
481	1.193946074
482	1.192268948
483	1.190578241
484	1.189944143
485	1.18990056
486	1.188910862
487	1.18841308
488	1.188078497
489	1.18668577
490	1.185493276
491	1.184258812
492	1.183411137
493	1.182242407
494	1.182147974
495	1.181053085
496	1.179657107
497	1.1793257
498	1.178241854
499	1.176730711
500	1.175897699
501	1.175359743
502	1.174465293
503	1.174077547
504	1.173081757
505	1.172905017
506	1.171786011
507	1.169903227
508	1.1698603
509	1.169745506
510	1.168656912
511	1.168113513
512	1.166712911
513	1.166448477
514	1.165040826
515	1.164007084
516	1.162776851
517	1.161357336
518	1.160950031
519	1.160514606
520	1.159161571
521	1.158798396
522	1.157565816
523	1.156059742
524	1.154545347
525	1.153709432
526	1.153232645
527	1.153175696
528	1.151517797
529	1.150187638
530	1.148739231
531	1.148706222
532	1.147328416
533	1.146625648
534	1.146315631
535	1.145053511
536	1.144237465
537	1.143035977
538	1.142620298
539	1.140988695
540	1.139616855
541	1.138504979
542	1.13818511
543	1.136664844
544	1.136640708
545	1.135878365
546	1.135079971
547	1.134767428
548	1.133540877
549	1.132444487
550	1.131872054
551	1.130853061
552	1.130179655
553	1.129420222
554	1.127791663
555	1.127540292
556	1.126650495
557	1.125433599
558	1.125413072
559	1.124221986
560	1.122878949
561	1.122568282
562	1.122324507
563	1.12228298
564	1.122257127
565	1.121221914
566	1.120312376
567	1.119951194
568	1.119190177
569	1.117798311
570	1.117775585
571	1.117355109
572	1.116427664
573	1.116055148
574	1.116025783
575	1.115798481
576	1.114920839
577	1.114853337
578	1.113808148
579	1.112590354
580	1.112561683
581	1.112533217
582	1.111400429
583	1.111164581
584	1.109784867
585	1.109384836
586	1.108978547
587	1.108374048
588	1.108022719
589	1.107114839
590	1.106072618
591	1.10564327
592	1.105017016
593	1.104102129
594	1.103691758
595	1.102491306
596	1.101676519
597	1.101060989
598	1.099069684
599	1.098255973
600	1.097398083
601	1.096877301
602	1.095770684
603	1.094721265
604	1.094231421
605	1.093724531
606	1.092210961
607	1.091376238
608	1.091102619
609	1.08959417
610	1.087555643
611	1.085250775
612	1.084820782
613	1.084753659
614	1.084079576
615	1.082798572
616	1.082762916
617	1.082025063
618	1.080574799
619	1.080557103
620	1.080168309
621	1.078596141
622	1.077974783
623	1.077506418
624	1.076794363
625	1.075978471
626	1.074932062
627	1.074716878
628	1.074433288
629	1.073545914
630	1.073364954
631	1.072682051
632	1.072566836
633	1.071369597
634	1.070204936
635	1.069302684
636	1.068448425
637	1.067862788
638	1.066617773
639	1.06583855
640	1.065713163
641	1.064761981
642	1.063836829
643	1.063709939
644	1.062441289
645	1.060977836
646	1.060073836
647	1.058904042
648	1.058875642
649	1.057844524
650	1.057823387
651	1.057695217
652	1.057668217
653	1.056453085
654	1.054910587
655	1.053926312
656	1.052731655
657	1.052357762
658	1.052242541
659	1.052009301
660	1.051761384
661	1.051643365
662	1.051223862
663	1.050533914
664	1.050100451
665	1.049281699
666	1.04853511
667	1.048511039
668	1.047783564
669	1.046671425
670	1.044770467
671	1.043804804
672	1.043787692
673	1.042731902
674	1.042532403
675	1.041534335
676	1.040686936
677	1.040397364
678	1.039433834
679	1.038442817
680	1.037464311
681	1.036652177
682	1.036426993
683	1.03548202
684	1.034490596
685	1.033301768
686	1.032436685
687	1.031867585
688	1.03066536
689	1.029911643
690	1.029273621
691	1.02888976
692	1.028212484
693	1.027865856
694	1.027261463
695	1.026382098
696	1.025902401
697	1.024562499
698	1.023717158
699	1.02318043
700	1.023068659
701	1.022855
702	1.02266592
703	1.02185833
704	1.020760754
705	1.020747283
706	1.019446137
707	1.019044082
708	1.018089179
709	1.018067249
710	1.018013274
711	1.017337483
712	1.016501972
713	1.015564286
714	1.015377104
715	1.014530857
716	1.013799239
717	1.012349288
718	1.012333801
719	1.012052326
720	1.011728908
721	1.010804338
722	1.009658872
723	1.008691542
724	1.00858882
725	1.008002238
726	1.006842731
727	1.00665151
728	1.006182687
729	1.00589747
730	1.005253361
731	1.004894147
732	1.003881934
733	1.003198251
734	1.002175768
735	1.001247848
736	1.000264397
737	0.9993637791
738	0.9991124025
739	0.9984884657
740	0.9974234218
741	0.996587303
742	0.9959186199
743	0.9956569418
744	0.994531552
745	0.9936966257
746	0.9928407587
747	0.9922639972
748	0.9914750128
749	0.9906491484
750	0.9905151653
751	0.989567285
752	0.9890425107
753	0.9885082244
754	0.988097479
755	0.9877612092
756	0.987294981
757	0.9865617596
758	0.9855725613
759	0.9846685641
760	0.9835597113
761	0.9833332096
762	0.9830651104
763	0.9827859046
764	0.9822557523
765	0.9815131104
766	0.980688373
767	0.9805743202
768	0.9792033459
769	0.9789990597
770	0.9779904095
771	0.9778319285
772	0.9777318928
773	0.9765906476
774	0.9756224229
775	0.9745576496
776	0.9737325577
777	0.9735422267
778	0.9733185411
779	0.9723455989
780	0.9717102566
781	0.9712822477
782	0.9705238403
783	0.9705020705
784	0.9702689728
785	0.9695126438
786	0.9686982242
787	0.9677782212
788	0.9672722939
789	0.9669623513
790	0.9667669409
791	0.9665626813
792	0.9653961234
793	0.9644009771
794	0.964344088
795	0.9640882384
796	0.9634392023
797	0.9631610367
798	0.9624675084
799	0.9622931482
800	0.9619800274
801	0.9612615044
802	0.9603728676
803	0.9598233135
804	0.9594498573
805	0.9593043278
806	0.9588139493
807	0.9579606935
808	0.9577141803
809	0.957385087
810	0.9566544179
811	0.9562437737
812	0.9560724568
813	0.9551517985
814	0.9547098916
815	0.9544803688
816	0.9539471486
817	0.9532390472
818	0.9523974021
819	0.9518292654
820	0.9513994135
821	0.9498800018
822	0.9491071181
823	0.9486801789
824	0.9485931405
825	0.9483257693
826	0.9479987246
827	0.9477215781
828	0.9469227363
829	0.9467874961
830	0.9462395934
831	0.9460185498
832	0.9452045794
833	0.9447292698
834	0.9434457175
835	0.9431605454
836	0.9426177742
837	0.9412308831
838	0.9403707908
839	0.9401606932
840	0.9395926526
841	0.9390152911
842	0.9381903619
843	0.9378870659
844	0.937147451
845	0.9361959694
846	0.9356257928
847	0.9355351614
848	0.9346456658
849	0.9340604338
850	0.9330992405
851	0.9326176631
852	0.9316824631
853	0.9306293819
854	0.9299595229
855	0.9298474619
856	0.9290193994
857	0.9289096342
858	0.9286377483
859	0.9277476836
860	0.9276376822
861	0.9272887649
862	0.9267338383
863	0.9261512695
864	0.925756455
865	0.9254220878
866	0.9249068763
867	0.9247452933
868	0.9237831929
869	0.9233252108
870	0.9227954393
871	0.9220929687
872	0.9218078841
873	0.9214820939
874	0.9210435379
875	0.9203403607
876	0.9196405472
877	0.9191177706
878	0.918814004
879	0.9188015037
880	0.9178735033
881	0.9178099878
882	0.9172965852
883	0.9167207757
884	0.9156545462
885	0.9147894862
886	0.9139264918
887	0.9136204652
888	0.9135163605
889	0.9126689593
890	0.9125300373
891	0.9123535454
892	0.9111207184
893	0.9106023856
894	0.9101871367
895	0.9094882721
896	0.9091916987
897	0.9084085555
898	0.9076684102
899	0.90763656
900	0.9071122883
901	0.9067233434
902	0.9063913111
903	0.9058208242
904	0.9050868168
905	0.9039185683
906	0.9037949861
907	0.9023285552
908	0.902204359
909	0.9020792196
910	0.9015834642
911	0.9014192111
912	0.9009745354
913	0.9005923582
914	0.9001061361
915	0.8997961653
916	0.8990193292
917	0.8982550304
918	0.8978959149
919	0.8973653852
920	0.8970281878
921	0.8962505933
922	0.8956617736
923	0.8955338616
924	0.8948632728
925	0.89388577
926	0.8932919473
927	0.8931931717
928	0.8930286935
929	0.8928569316
930	0.8922861238
931	0.8919431989
932	0.8908656474
933	0.8905377476
934	0.890080964
935	0.889615902
936	0.8888348482
937	0.8885916613
938	0.8876700734
939	0.8870590528
940	0.8863879376
941	0.8855225788
942	0.8852294458
943	0.8850094047
944	0.8841919559
945	0.8834719987
946	0.8833637184
947	0.8831966497
948	0.882790041
949	0.8825067917
950	0.8824487717
951	0.8819749017
952	0.8817279655
953	0.8813964155
954	0.8810168157
955	0.88047994
956	0.8797351746
957	0.8792755996
958	0.8791590158
959	0.8787625876
960	0.8783589541
961	0.8780881428
962	0.8776251305
963	0.8772795321
964	0.876413433
965	0.8754686803
966	0.8748976365
967	0.8747122428
968	0.8737864722
969	0.8733363626
970	0.8732318349
971	0.8722833315
972	0.8708957182
973	0.8706684087
974	0.8701873999
975	0.8699059053
976	0.8695632911
977	0.8689468884
978	0.8686121886
979	0.8682604997
980	0.8669472141
981	0.8667571559
982	0.8664041099
983	0.8657453616
984	0.8656934086
985	0.8652243922
986	0.8649004763
987	0.8643849451
988	0.8637176749
989	0.8632063242
990	0.8630635365
991	0.862708288
992	0.862559501
993	0.8619081056
994	0.8612465798
995	0.8605916831
996	0.8600463921
997	0.8597534212
998	0.8590885292
999	0.8590577174
